airport,latitude,longitude
"Birmingham, AL",33.5206824,-86.8024326
"Philadelphia, PA",39.9527237,-75.1635262
"Knoxville, TN",35.9603948,-83.9210261
"Omaha, NE",41.2587459,-95.9383758
"Buffalo, NY",42.8864163,-78.8781493
"Houston, TX",29.7589382,-95.3676974
"Columbus, OH",39.9622601,-83.0007065
"Raleigh/Durham, NC",35.8803614,-78.7872382
"Albuquerque, NM",35.0841034,-106.650985
"Las Vegas, NV",36.1674263,-115.1484131
"Sioux Falls, SD",43.5476008,-96.7293629
"Oklahoma City, OK",35.4729886,-97.5170536
"San Antonio, TX",29.4246002,-98.4951405
"Albany, NY",42.6511674,-73.754968
"San Francisco, CA (Metropolitan Area)",-11.7630118,-76.9857624
"Chicago, IL",41.8755616,-87.6244212
"Wichita, KS",37.6922361,-97.3375448
"Charlotte, NC",35.2272086,-80.8430827
"Jacksonville, FL",30.3262247,-81.6579179
"Cincinnati, OH",39.1014537,-84.5124602
"Denver, CO",39.7392364,-104.984862
"Los Angeles, CA (Metropolitan Area)",-11.9602676,-77.0330491
"Orlando, FL",28.5421218,-81.379045
"Boston, MA (Metropolitan Area)",-12.0663157,-77.0374785
"Washington, DC (Metropolitan Area)",38.8850666,-77.0216533
"Seattle, WA",47.6038321,-122.330062
"San Diego, CA",32.7174202,-117.162772
"Sacramento, CA",38.5810606,-121.493895
"Phoenix, AZ",33.4484367,-112.074141
"West Palm Beach/Palm Beach, FL",26.715364,-80.0532942
"Dallas/Fort Worth, TX",32.836883,-97.0329567
"Portland, OR",45.5202471,-122.674194
"Salt Lake City, UT",40.7596198,-111.886797
"Detroit, MI",42.3315509,-83.0466403
"Minneapolis/St. Paul, MN",44.9227049,-93.0554922
"Kansas City, MO",39.100105,-94.5781416
"Fort Myers, FL",26.640628,-81.8723084
"St. Louis, MO",38.6254063,-90.190009
"New Orleans, LA",29.9561422,-90.0733934
"Pittsburgh, PA",40.4406968,-80.0025666
"Austin, TX",30.2711286,-97.7436995
"Nashville, TN",36.1622767,-86.7742984
"Milwaukee, WI",43.0386475,-87.9090751
"Reno, NV",39.5261788,-119.812658
"Indianapolis, IN",39.7683331,-86.1583502
"Spokane, WA",47.6571934,-117.42351
"Hartford, CT",41.764582,-72.6908547
"Myrtle Beach, SC",33.6956461,-78.8900409
"Boise, ID",43.6166163,-116.200886
"Richmond, VA",37.5385087,-77.43428
"Tucson, AZ",32.2228765,-110.974847
"El Paso, TX",31.7601001,-106.4870476
"Rochester, NY",43.157285,-77.615214
"Lubbock, TX",33.5855677,-101.8470215
"Norfolk, VA (Metropolitan Area)",43.6045945,-79.5524643
"Portland, ME",43.6573605,-70.2586618
"Tulsa, OK",36.1563122,-95.9927516
"Little Rock, AR",34.7465071,-92.2896267
"Dayton, OH",39.7589478,-84.1916069
"Louisville, KY",38.2542376,-85.759407
"Charleston, SC",32.7884363,-79.9399309
"Amarillo, TX",35.20729,-101.8371192
"Midland/Odessa, TX",31.9379584,-102.2772601
"Atlantic City, NJ",39.3642852,-74.4229351
"Bellingham, WA",48.7544012,-122.478836
"Savannah, GA",32.0790074,-81.0921335
"Sarasota/Bradenton, FL",27.3959884,-82.5540742
"Syracuse, NY",43.0481221,-76.1474244
"Burlington, VT",44.4761601,-73.212906
"Huntsville, AL",34.729847,-86.5859011
"Greensboro/High Point, NC",35.9854289,-79.96948
"Flint, MI",43.0161693,-83.6900211
"Harlingen/San Benito, TX",26.1496109,-97.6651442
"Corpus Christi, TX",27.7635302,-97.4033191
"Jackson/Vicksburg, MS",32.3520228,-90.8726379
"Colorado Springs, CO",38.8339578,-104.825348
"Nantucket, MA",41.2844408,-70.09842
"Pensacola, FL",30.421309,-87.2169149
"Madison, WI",43.07469,-89.3841663
"Palm Springs, CA",33.8246269,-116.540303
"Grand Rapids, MI",42.9632425,-85.6678639
"Columbia, SC",34.000754,-81.0352313
"Gulfport/Biloxi, MS",30.4857138,-89.0289806
"Fresno, CA",36.7394421,-119.78483
"Greenville/Spartanburg, SC",34.8954456,-82.2172285
"Des Moines, IA",41.5868654,-93.6249494
"Wilmington, NC",34.2352853,-77.9487284
"Allentown/Bethlehem/Easton, PA",40.6511137,-75.4422336
"Sanford, FL",28.8117345,-81.2680223
"Peoria, IL",40.6938609,-89.5891008
"Bloomington/Normal, IL",40.508752,-88.9844947
"Santa Rosa, CA",38.4404925,-122.7141049
"Baton Rouge, LA",30.4494155,-91.1869659
"Fayetteville, AR",36.0625843,-94.1574328
"Jackson, WY",43.479965,-110.761815
"Billings, MT",45.7874957,-108.49607
"Springfield, MO",37.2081729,-93.2922715
"Medford, OR",42.3264181,-122.8718605
"Daytona Beach, FL",29.2108147,-81.0228331
"Tallahassee, FL",30.4380832,-84.2809332
"Harrisburg, PA",40.2663107,-76.8861122
"Eugene, OR",44.0505054,-123.0950506
"Eagle, CO",39.6161124,-106.7172844
"Fargo, ND",46.877229,-96.789821
"Rockford, IL",42.2713945,-89.093966
"Bullhead City, AZ",35.1449998,-114.5627804
"Bismarck/Mandan, ND",46.8309784,-100.8184863
"South Bend, IN",41.6833813,-86.2500066
"Aspen, CO",39.1911128,-106.82356
"Appleton, WI",44.2613967,-88.4069744
"Pasco/Kennewick/Richland, WA",46.1736015,-119.0664001
"Key West, FL",24.5548262,-81.8020722
"Valparaiso, FL",30.5085309,-86.5027282
"Lexington, KY",38.0464066,-84.4970393
"Plattsburgh, NY",44.6960855,-73.4542915
"Bangor, ME",44.8016255,-68.7713289
"Panama City, FL",30.1586518,-85.6602936
"Missoula, MT",46.8701049,-113.995267
"Durango, CO",37.2769484,-107.8766
"Stockton, CA",37.9577016,-121.290779
"Santa Barbara, CA",34.4221319,-119.702667
"Asheville, NC",35.595363,-82.5508407
"Minot, ND",48.23251,-101.296273
"Great Falls, MT",47.5048851,-111.29189
"Shreveport, LA",32.5135356,-93.7477839
"Lansing, MI",42.7338254,-84.5546295
"Bozeman, MT",45.6794293,-111.044047
"Laredo, TX",27.5079211,-99.5069834
"Salinas/Monterey, CA",36.6744117,-121.655037
"Latrobe, PA",40.317287,-79.3840301
"Niagara Falls, NY",43.084841,-79.0701786
"Martha's Vineyard, MA",41.3920455,-70.6208138
"Bend/Redmond, OR",44.2165084,-121.2150324
"Trenton, NJ",40.2203074,-74.7659
"Wilmington, DE",39.7459468,-75.546589
"Grand Forks, ND",47.9252104,-97.0306325
"Fort Wayne, IN",41.0799898,-85.1386015
"Punta Gorda, FL",26.9351529,-82.0512058
"Kalispell, MT",48.202158,-114.315321
"Chattanooga, TN",35.0457219,-85.3094883
"Provo, UT",40.2337289,-111.6587085
"Concord, NC",35.4094178,-80.5800049
"Everett, WA",47.9793437,-122.2127011
"Charlottesville, VA",38.029306,-78.4766781
"Rapid City, SD",44.0806041,-103.228023
"Idaho Falls, ID",43.4887907,-112.03628
"Belleville, IL",38.5135805,-89.9841627
"Paso Robles/San Luis Obispo, CA",35.6080581,-120.6919001
"Traverse City, MI",44.7606481,-85.6165976
"Toledo, OH",41.6529143,-83.5378173
"Springfield, IL",39.7990175,-89.6439575
"Montrose/Delta, CO",38.6418649,-108.0952046
"Steamboat Springs, CO",40.4848003,-106.831735
"St. Cloud, MN",45.574643,-94.1205808
"Hilton Head, SC",32.1618488,-80.7512616
"Ashland, WV",37.4084488,-81.3526017
"New Haven, CT",41.3082138,-72.9250518
"Worcester, MA",42.2625621,-71.8018877
"Eureka/Arcata, CA",40.9763645,-124.1084259
"Vero Beach, FL",27.6387163,-80.3975399
